Team,Ranking,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Pacific Tigers,348,32.0,64.7,22.7,55.1,41.1,6.3,20.1,31.6,13.1,20.3,64.3,6.6,20.8,27.4,13.2,6.1,2.0,11.8,17.2
DePaul Blue Demons,348,32.0,64.7,22.7,53.6,42.3,6.3,18.7,33.5,13.2,17.9,73.3,7.3,22.4,29.7,12.3,5.3,3.1,13.6,15.1
Marist Red Foxes,350,31.0,64.6,23.4,52.8,44.3,6.8,19.2,35.6,11.0,15.7,69.7,7.2,24.9,32.1,12.3,6.8,2.8,12.1,16.2
Loyola Maryland Greyhounds,351,32.0,64.0,23.0,55.2,41.7,7.2,21.4,33.6,10.8,16.8,64.4,10.1,24.0,34.1,12.8,5.9,2.2,13.5,16.2
Notre Dame Fighting Irish,352,33.0,64.0,22.5,55.3,40.7,7.6,23.9,31.8,11.5,15.4,74.4,9.8,26.1,35.9,10.2,5.7,2.4,12.5,15.1
Wagner Seahawks,353,33.0,63.7,23.0,58.0,39.6,7.2,22.0,32.7,10.6,15.0,70.4,11.0,24.5,35.5,12.8,5.9,2.3,9.8,15.4
Cal Poly Mustangs,354,32.0,63.7,22.5,55.6,40.4,6.2,18.7,33.1,12.5,17.8,70.5,8.8,22.4,31.3,9.8,5.4,3.7,12.7,19.2
Stonehill Skyhawks,355,31.0,63.5,23.0,57.7,39.9,8.2,26.9,30.3,9.2,13.4,68.9,8.3,24.5,32.8,11.8,6.4,2.5,13.6,15.4
Virginia Cavaliers,356,34.0,62.9,23.8,55.5,42.8,6.5,18.1,35.8,8.9,14.0,63.7,8.8,23.8,32.6,15.0,7.0,5.0,8.1,13.5
Lafayette Leopards,357,32.0,62.8,23.3,57.0,40.8,7.1,22.8,31.2,9.2,13.7,67.4,8.7,24.5,33.3,13.2,6.6,4.3,11.6,16.2
Dartmouth Big Green,358,27.0,61.9,22.0,53.6,41.1,7.1,23.2,30.5,10.8,15.6,69.0,7.4,25.9,33.3,12.3,4.4,3.5,12.7,13.9
Siena Saints,359,32.0,60.4,21.9,54.9,39.9,5.3,18.8,28.0,11.3,16.9,66.7,11.7,23.7,35.4,10.7,5.1,4.1,15.8,15.3
Army Black Knights,360,32.0,60.3,22.1,54.6,40.5,7.9,24.6,32.0,8.3,14.0,58.8,9.6,24.3,33.8,12.5,5.8,3.9,12.2,15.8
Coppin State Eagles,361,28.0,58.3,20.3,54.4,37.4,5.3,18.6,28.6,12.3,17.0,72.6,9.6,20.4,30.0,8.3,7.5,2.8,15.5,17.8
Mississippi Valley State Delta Devils,362,31.0,55.5,19.8,52.0,38.1,4.6,15.8,29.2,11.3,17.2,65.8,9.6,19.8,29.4,8.7,6.6,2.3,15.9,17.7
