Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
229,Alabama A&M Bulldogs,27.0,65.2,22.5,58.0,38.8,4.5,16.8,26.7,15.7,23.6,66.5,12.6,22.5,35.1,11.0,8.3,3.3,16.6,20.3
230,Florida Gulf Coast Eagles,31.0,65.2,21.6,53.7,40.3,5.4,16.3,33.1,16.5,23.6,69.9,11.3,24.1,35.4,13.6,7.7,2.9,17.5,20.3
231,Towson Tigers,34.0,65.1,22.8,56.8,40.2,6.3,20.1,31.1,13.2,19.7,66.8,12.3,22.6,34.9,13.0,7.2,4.6,13.0,17.9
232,Cal Poly Mustangs,28.0,65.1,23.0,56.8,40.5,6.8,20.0,33.8,12.3,17.4,70.4,10.5,22.6,33.2,10.7,5.9,2.9,11.7,15.3
233,Southern Utah Thunderbirds,31.0,65.1,22.5,48.7,46.2,4.5,12.1,37.1,15.6,19.6,79.6,9.2,21.0,30.2,13.6,5.9,1.0,15.0,18.8
234,Tulane Green Wave,31.0,65.1,23.2,54.8,42.3,4.9,14.7,33.1,13.8,20.4,67.7,11.3,21.8,33.2,13.3,7.6,3.2,13.7,19.3
235,Stony Brook Seawolves,30.0,65.0,22.8,55.3,41.3,5.8,16.7,35.0,13.6,20.0,67.9,11.8,23.3,35.1,9.8,8.6,2.6,13.0,19.2
236,Florida Atlantic Owls,32.0,65.0,23.0,55.5,41.4,5.4,16.6,32.5,13.6,18.3,73.9,11.2,22.3,33.4,12.2,4.5,3.3,12.3,18.6
237,Iowa State Cyclones,32.0,64.9,23.4,54.1,43.2,7.4,21.3,34.6,10.8,15.3,70.5,7.8,25.9,33.7,14.2,4.0,3.4,12.1,15.8
238,Georgia Bulldogs,32.0,64.9,23.7,57.6,41.2,6.4,18.7,34.2,11.1,17.4,63.8,12.7,25.0,37.6,13.0,7.3,3.8,17.4,16.7
239,Ohio Bobcats,32.0,64.8,22.2,51.1,43.4,6.5,17.9,36.3,14.0,20.0,70.3,9.3,21.7,30.9,13.6,6.9,1.8,14.3,20.2
240,Illinois Fighting Illini,34.0,64.8,25.3,54.9,46.1,5.5,15.8,35.0,8.8,12.3,71.1,9.4,23.7,33.1,17.5,5.9,3.6,12.4,15.3
