Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
177,Butler Bulldogs,35.0,72.6,25.1,55.8,44.9,7.8,21.0,37.3,14.6,19.7,74.3,8.1,24.3,32.4,12.6,5.1,3.4,13.8,16.7
178,Seattle U Redhawks,34.0,72.6,23.9,58.8,40.7,7.4,21.1,35.0,17.3,23.3,74.5,10.5,24.4,35.0,11.4,7.0,3.2,11.4,19.6
179,St. John's Red Storm,33.0,72.6,24.5,58.2,42.0,9.2,25.0,36.9,14.5,19.8,73.4,11.4,28.1,39.5,14.3,5.5,2.4,16.2,17.8
180,IUPUI Jaguars,30.0,72.7,25.3,53.8,47.0,7.0,20.3,34.7,15.0,20.4,73.7,9.2,24.7,33.9,13.6,7.5,4.2,14.7,17.5
181,UT Martin Skyhawks,31.0,72.7,24.6,58.0,42.5,10.0,28.0,35.7,13.4,19.1,70.1,11.5,24.2,35.7,16.9,6.8,2.5,13.6,15.2
182,Indiana State Sycamores,31.0,72.7,24.5,55.3,44.3,7.3,20.4,35.5,16.4,22.8,72.0,8.1,26.7,34.8,12.4,6.7,3.9,14.2,19.1
183,Providence Friars,35.0,72.7,26.1,58.7,44.4,6.9,21.3,32.2,13.7,18.7,73.1,10.3,26.0,36.2,12.7,6.5,3.7,13.4,19.3
184,Florida State Seminoles,35.0,72.9,25.3,60.8,41.7,8.1,22.9,35.5,14.1,19.7,71.4,11.2,23.9,35.1,12.3,5.8,3.0,14.1,18.8
185,Northern Colorado Bears,38.0,72.9,26.7,59.9,44.5,4.9,14.8,32.8,14.8,21.5,68.6,8.7,27.0,35.7,10.1,5.3,2.8,13.1,19.3
186,Dartmouth Big Green,27.0,73.0,26.8,57.5,46.6,8.1,23.4,34.9,11.2,14.3,78.2,8.6,24.7,33.3,14.0,6.2,2.9,12.5,17.0
187,Denver Pioneers,30.0,73.0,24.9,57.3,43.4,8.3,24.9,33.5,14.9,20.6,72.3,8.5,22.4,31.0,11.0,6.6,2.9,11.2,18.5
188,Troy Trojans,33.0,73.0,26.2,60.4,43.4,7.7,22.7,34.1,12.8,18.4,69.7,10.8,25.6,36.4,12.3,6.3,2.5,11.7,17.4
189,Washington Huskies,34.0,73.0,26.1,58.3,44.7,6.9,20.7,33.5,13.9,20.1,69.2,11.5,23.8,35.3,15.7,6.1,3.3,15.1,19.3
190,Colorado Buffaloes,32.0,73.0,25.3,59.7,42.3,8.3,23.2,35.7,14.3,20.3,70.3,9.8,24.3,34.1,11.6,7.3,4.0,10.6,18.6
191,Nevada Wolf Pack,37.0,73.1,26.3,60.8,43.3,7.4,23.5,31.7,13.0,18.3,70.9,10.9,25.5,36.4,13.0,4.5,2.8,12.8,19.2
192,Bucknell Bison,35.0,73.1,26.0,61.1,42.6,6.4,19.3,33.1,14.7,21.1,69.5,10.4,25.1,35.4,12.8,6.6,3.3,12.5,21.2
193,UConn Huskies,32.0,73.1,25.1,58.0,43.3,9.0,24.7,36.4,13.9,19.7,70.6,11.6,25.2,36.8,13.8,5.1,3.0,12.5,17.0
194,Auburn Tigers,34.0,73.2,24.6,57.7,42.7,8.0,22.9,35.1,15.9,22.0,72.2,10.1,25.3,35.4,12.9,6.1,3.3,15.2,20.6
195,NJIT Highlanders,30.0,73.2,26.5,57.5,46.1,6.9,19.1,36.0,13.4,19.0,70.5,9.6,25.0,34.6,12.5,6.2,4.3,14.7,17.1
196,Norfolk State Spartans,33.0,73.2,23.7,56.7,41.8,9.0,25.1,35.7,16.9,23.9,70.8,10.5,25.2,35.7,14.4,5.5,3.4,15.0,18.0
197,Oklahoma State Cowboys,36.0,73.3,25.4,58.2,43.7,7.3,20.0,36.7,15.0,20.7,72.6,11.1,24.8,35.9,12.9,6.2,2.9,14.5,18.9
198,North Carolina Tar Heels,37.0,73.3,26.3,62.1,42.3,9.6,25.4,38.0,11.1,16.1,68.7,9.8,23.1,32.9,14.6,6.2,4.8,11.7,17.8
199,Illinois State Redbirds,33.0,73.3,25.1,58.9,42.6,7.3,23.4,31.1,15.8,22.4,70.7,11.7,27.3,39.0,14.2,6.5,3.2,12.9,17.8
200,Drake Bulldogs,34.0,73.4,27.6,61.1,45.1,7.8,23.1,33.7,10.5,14.8,70.8,9.7,26.6,36.4,15.0,6.0,3.6,12.1,17.4
